Day,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
1,12.9,10.9,4.8,4.1,2.3,4.3,6.0,21.3,10.4,8.1,3.5,2.0
2,17.7,11.1,3.4,3.6,2.8,4.6,6.8,12.9,9.3,5.6,3.0,3.0
3,,4.4,2.6,2.7,3.0,6.0,9.9,12.6,9.3,2.4,2.3,5.6
4,18.8,6.3,1.0,6.1,4.6,5.3,P 39.0 +,23.6,9.5,1.2,3.0,9.5
5,17.8,2.9,3.2,5.8,7.1,6.9,19.1,20.3,8.4,2.2,3.5,17.3
6,21.0,2.8,4.1,7.6,4.9,7.2,21.7,28.7,7.8,3.4,2.6,28.4
7,19.4,4.4,9.2,6.4,5.2,5.9,7.0,22.5,7.6,2.4,2.8,P 37.2
8,9.0,5.0,,2.9,6.1,8.0,5.3,13.5,6.0,,3.8,P 46.6
9,4.8,4.9,4.9,4.4,6.9,10.8,6.0,19.7,11.0,2.1,,P 38.1
10,3.7,2.8,4.1,6.0,4.7,6.4,6.2,P 39.9 +,8.7,1.7,,19.4
11,2.9,4.0,2.7,6.3,3.3,5.5,6.9,P 36.1,5.0,5.3,,
12,3.5,4.3,5.9,3.1,1.9,6.0,6.0,15.3,6.0,7.8,,10.1
13,6.8,10.6,4.4,1.5,2.6,4.6,6.4,19.0,4.6,4.3,,6.9
14,7.8,6.4,2.8,3.9,3.4,6.1,6.8,15.1,10.6,2.4,,10.2
15,14.8,3.1,1.0,3.9,3.5,8.6,6.2,11.1,26.4,7.2,,7.6
16,9.0,3.8,1.5,,4.4,7.8,8.0,11.8,4.7,6.4,11.3,8.3
17,10.5,2.4,1.5,1.2,5.2,5.4,6.2,10.8,8.5,4.3,12.9,6.4
18,8.3,4.3,,2.5,5.1,6.7,9.5,16.0,8.5,3.3,10.5,8.8
19,1.7,2.8,,3.6,6.1,4.0,9.6,21.8,11.5,6.9,11.6,3.4
20,2.3,6.2,2.1,3.9,5.7,4.5,7.6,,7.1,5.9,12.0,8.2
21,3.4,7.4,1.9,4.7,5.5,5.0,6.2,5.6,13.1,3.7,17.1,4.1
22,7.1,7.2,2.4,3.7,4.3,4.0,6.2,4.5,13.0,3.6,3.9,2.9
23,12.8,6.4,1.2,5.3,3.9,5.7,8.7,18.6,5.3,1.9,1.8,5.8
24,7.0,5.4,2.8,6.6,4.8,5.3,10.3,12.8,6.1,3.6,1.3,11.2
25,3.0,2.4,2.4,4.7,6.0,6.5,9.1,4.3,5.2,4.1,,5.8
26,4.4,3.4,3.2,6.2,6.1,7.6,14.8,6.5,6.0,5.4,9.4,2.5
27,6.1,12.4,3.5,5.4,4.1,8.3,12.8,20.1,7.2,6.1,14.9,7.0
28,7.7,12.8,2.9,7.9,3.6,8.6,12.7,6.5,7.1,3.8,5.9,6.4
29,9.4,,3.7,5.5,4.9,7.7,16.6,5.7,6.8,3.2,5.0,9.4
30,5.3,,6.3,2.4,5.0,3.4,16.2,3.9,6.1,1.8,2.7,7.7
31,5.6,,3.5,,6.4,,14.7,6.8,,4.5,,4.6
