Day,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
1,.029,.010,.047,.049,.053,.057,,.061,.067,.039,.040,.016
2,.027,.026,.035,.039,.048,.062,,.067,P .078,.036,.040,.023
3,.020,.029,.037,.053,.056,.064,,.062,.067,.034,.042,.042
4,.033,.041,.048,.050,.057,.059,,.057,.073,.053,.040,.034
5,.033,.042,.051,.054,.051,.068,,.061,.073,.040,.034,.023
6,.028,.039,.044,.047,.054,.064,,.053,.065,.041,.030,.016
7,.018,.036,.047,.042,.056,.058,,.052,.057,.037,.030,.022
8,.020,.031,.040,.052,.057,.059,,.055,.053,.041,.029,.019
9,.027,.027,.039,.050,.060,.058,,.057,.045,.035,.033,.018
10,.038,.033,.033,.057,.064,.053,.065,.060,.052,.039,.024,.019
11,.038,.035,.043,.051,.058,.050,.058,.057,.061,.044,.034,.013
12,.022,.040,.047,.060,.055,.053,.064,.053,.058,.040,.027,.007
13,.016,.034,.043,.060,.058,.040,.062,.053,.047,.042,.031,.003
14,.025,.031,.041,.053,.062,.059,.065,.051,.035,.042,.032,.016
15,.032,.039,.047,.054,.058,.061,.075,.058,.043,.041,.025,.013
16,.033,.039,.046,.055,.057,.051,.068,.063,.045,.031,.030,.019
17,.033,.032,.052,.050,.049,.041,.059,.060,.054,.032,.034,.022
18,.025,.040,.054,.051,.046,.053,.056,.062,.052,.031,.033,.016
19,.016,.035,.051,.060,.046,,.043,.056,.046,.034,.029,.012
20,.031,.038,.044,,.058,,.057,.053,.048,.044,.013,
21,.035,.041,.043,.054,.054,,.058,.052,.038,.041,.020,.028
22,.032,.039,.043,.059,,,.062,.053,.040,.038,.015,.027
23,.040,.036,.040,.053,.060,,.066,.053,.034,.040,.017,.036
24,.039,.040,.044,.044,.049,,.060,.054,.032,.033,.027,.023
25,.038,.039,.041,.041,.064,,.051,.051,.036,.039,.020,.014
26,.035,.043,.052,.043,.054,,.056,.054,.040,.034,.020,.014
27,.033,.044,.031,.056,.050,,.062,.062,.044,.039,.037,.009
28,.035,.043,.042,.042,.057,,.053,.067,.040,.038,.033,.012
29,.037,,.051,.051,.067,,.066,.068,.049,.035,.021,.010
30,.030,,,.052,.064,,.066,.062,.046,.028,.018,
31,.017,,.029,,.062,,.061,.042,,.031,,
