Day,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
1,.035,.038,.034,.050,.046,.057,.048,.052,.065,.042,.042,.038
2,.033,.036,.031,.044,.052,.054,.043,.058,.062,.044,.029,.037
3,.037,.033,.041,.053,.047,.059,.041,P .074,.065,.045,.032,.020
4,.029,.031,.048,.043,.037,.050,.047,.069,.062,.046,.032,.028
5,.036,.037,.042,.046,.047,.040,.047,.056,.058,.050,.036,.031
6,.033,.038,.044,.048,.045,.052,.049,.051,.054,.043,.033,.033
7,.037,.029,.043,.047,.051,.065,.052,.056,.058,.042,.030,.020
8,.040,.029,.040,.042,.047,.057,.053,.066,.057,.048,.030,.022
9,.032,.034,.042,.049,.046,,.050,P .075,.069,.047,.039,.032
10,.022,.032,.042,.047,.054,,.054,.055,P .074,.045,.036,.033
11,.020,.034,.044,.042,.055,,P .076,.060,.064,.042,.030,.039
12,.019,.042,.045,.040,.046,,.056,.054,.059,.040,.030,.036
13,.009,.035,.043,.044,.048,.046,.057,.053,.038,.040,.030,.023
14,.025,.040,.044,.044,.046,.047,.055,.057,.035,.044,.030,.025
15,.030,.038,.044,.044,.045,.053,.056,.060,.048,.044,.029,.027
16,.029,.036,.042,.042,.033,.054,.059,.061,.052,.042,.025,.025
17,.022,.033,.042,.046,.045,.051,.059,.059,.052,.037,.027,.024
18,.010,.035,.045,.052,.050,.045,.063,.056,.043,.035,.025,.024
19,.018,.040,.047,.048,.045,.057,.067,.048,.044,.037,.027,.021
20,.026,.040,.044,.052,.046,.050,.068,.044,.040,.040,.026,.008
21,.028,.039,.042,.052,.049,.062,.064,.059,.032,.042,.022,.036
22,.028,.038,.044,.045,.052,.067,.065,.063,.047,.042,.016,.028
23,.029,.034,.048,.045,.050,.052,.060,.057,.049,.032,.030,.015
24,.026,.041,.039,.047,.051,.056,.053,.052,.053,.031,.029,.010
25,.025,.040,.041,.051,.056,.056,.063,.054,.053,.033,.025,.008
26,.033,.040,.045,.057,.044,.055,.068,.053,.048,.036,.016,.009
27,.029,.041,.045,.056,.049,.059,.065,.053,.046,.031,.038,.033
28,.030,.037,.040,.054,.038,.052,.060,.057,.040,.028,.031,.029
29,.030,,.038,.053,.046,.049,.058,.062,.047,.029,.033,.032
30,.028,,.045,.051,.034,.054,.057,.064,.043,.036,.030,.038
31,.037,,.036,,.039,,.058,.067,,.030,,
