Day,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
1,18.9,36.8,31.2,31.4,20.0,10.3,9.3,6.2,10.3,15.7,27.8,36.5
2,33.1,32.4,32.0,27.7,4.8,9.9,14.5,11.7,18.6,12.4,17.3,30.8
3,36.1,13.2,27.6,19.1,11.4,10.8,10.3,13.0,18.0,11.6,21.5,30.9
4,40.4,27.7,16.4,16.9,17.0,10.9,9.3,16.6,13.3,18.5,28.6,29.4
5,29.1,25.1,24.0,15.5,13.6,7.4,8.2,13.8,9.6,18.3,26.9,24.8
6,39.7,19.1,18.8,10.4,16.6,5.1,10.0,8.7,12.6,13.8,22.4,38.5
7,39.2,18.5,17.5,22.0,20.9,4.6,13.1,14.0,18.8,12.7,11.9,35.0
8,42.8,36.4,23.5,37.0,4.2,4.2,15.7,8.1,15.1,21.3,28.2,27.6
9,39.7,37.9,7.2,16.1,8.5,4.5,12.3,15.4,11.4,4.6,24.7,21.9
10,36.1,31.7,10.0,17.7,6.8,4.9,13.6,13.3,8.6,9.9,16.9,16.0
11,39.5,25.5,21.8,8.1,14.3,,10.7,15.3,7.7,19.3,32.0,30.8
12,42.8,21.9,28.5,22.8,14.7,9.8,17.8,14.4,6.8,8.5,22.3,29.3
13,44.6,21.6,9.3,23.5,16.1,5.3,9.7,16.5,11.7,12.5,18.1,33.0
14,34.4,10.1,11.2,25.0,10.3,16.5,12.5,9.2,,9.1,18.4,10.0
15,43.4,25.3,28.2,16.5,10.3,18.8,13.1,7.5,18.3,20.6,25.6,13.9
16,41.0,18.6,20.1,15.0,5.7,11.3,24.9,15.4,21.3,17.1,9.9,19.7
17,38.3,14.7,29.5,13.6,10.0,13.9,10.7,17.1,15.4,12.3,30.0,30.2
18,29.8,25.0,22.0,16.3,12.9,20.6,8.6,12.0,5.9,17.2,38.3,33.6
19,31.7,38.2,19.3,28.0,8.6,11.1,15.1,,8.6,14.0,35.1,39.2
20,42.2,26.1,7.7,15.3,10.9,6.4,7.8,9.7,8.6,19.7,24.4,41.7
21,43.6,13.3,6.5,14.5,15.0,13.5,8.0,10.5,14.4,25.5,19.8,42.2
22,42.1,28.9,20.4,18.4,11.1,12.0,10.2,9.2,19.3,20.2,28.7,45.8
23,21.9,30.0,25.5,14.6,2.3,5.6,12.4,14.0,15.0,18.0,26.9,34.3
24,24.0,34.5,25.6,16.8,8.3,10.2,14.2,6.6,16.5,11.2,19.0,5.2
25,34.7,28.6,24.3,9.7,12.1,8.5,17.5,16.4,12.2,16.2,23.5,3.1
26,33.8,16.1,10.1,10.0,9.7,7.4,14.2,11.8,11.5,11.8,25.9,7.0
27,17.4,14.1,16.9,16.3,19.9,3.0,9.8,14.4,17.6,12.9,29.2,6.8
28,27.2,21.8,21.3,15.0,9.0,3.4,13.5,12.5,20.6,21.0,24.6,35.5
29,19.0,,12.0,19.4,9.1,5.7,10.1,13.0,21.5,26.6,37.2,36.6
30,24.9,,29.4,18.3,7.0,8.1,13.2,15.8,16.6,22.0,34.3,7.7
31,24.5,,30.0,,9.1,,11.0,17.8,,13.2,,12.1
