Day,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
1,.300,.200,.600,.400,.200,.200,.100,.200,.300,.200,.300,.400
2,.400,.200,.600,.400,.200,.200,.100,.400,.400,.300,.200,.400
3,.700,.300,.600,.300,.200,.200,.100,.200,.400,.500,.100,.700
4,.600,.400,.500,.400,.300,.200,.100,.300,.400,.300,.200,.800
5,.700,.400,.400,.300,.300,.200,.100,.300,.400,.300,.100,.400
6,.600,.300,.400,.400,.300,.200,.100,.300,.400,.300,.200,.400
7,.600,.500,.500,.400,.200,.200,.100,.300,.300,.400,.200,.500
8,.400,.500,.500,.400,.200,.500,.100,.200,.300,.300,.200,.600
9,.500,.500,.500,.400,.200,.500,.100,.200,.200,.300,.200,.600
10,.500,.500,.500,.300,.300,.300,.100,.200,.400,.300,.100,.600
11,.500,.500,.500,.500,.300,.300,.200,.300,.400,.300,.300,.600
12,.600,.400,.600,.400,.200,.300,.200,.300,.300,.300,.400,.500
13,.800,.400,.600,.400,.300,.200,.200,.300,.200,.400,.400,.500
14,.800,.500,.500,.500,.300,.200,.200,.300,.200,.400,.200,.500
15,.500,.400,.300,.400,.300,.200,.300,.300,.200,.400,.300,.300
16,.500,.400,.300,.500,.300,.300,.200,.300,.200,.300,.400,.200
17,.600,.400,.300,.500,.300,.300,.200,.300,.200,.300,.400,.400
18,.800,.400,.400,.500,.300,.200,.200,.400,.200,.500,.400,.400
19,.800,.500,.300,.100,.300,.200,.200,.300,.200,.600,.400,.600
20,.500,.500,.300,.100,.300,.200,.200,.500,.100,.500,.400,.800
21,.500,.400,.300,.100,.300,.300,.200,.500,.300,.500,.400,.700
22,.500,.400,.300,.100,.300,.400,.200,.400,.200,.500,.500,.400
23,.500,.400,.400,.200,.300,.300,.300,.300,.200,.500,.500,.500
24,.600,.400,.400,.200,.400,.300,.200,.300,.200,.300,.400,700
25,.600,.400,.400,.200,.400,.300,.300,.300,.300,.100,.400,.600
26,.300,.400,.300,.300,.400,.300,.300,.300,.300,.100,.400,.700
27,.300,.500,.300,.300,.400,.400,.300,.300,.300,.100,.400,.600
28,.300,.500,.300,.300,.400,.400,.200,.300,.200,.200,.300,300
29,.400,,.300,.200,.400,.400,.300,.300,.400,.200,.300,.300
30,.400,,.300,.200,.400,.400,.300,.300,.300,.200,.400,.400
31,.500,,.300,,.400,,300,400,,.300,,400
