Day,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
1,.900,.200,.100,.200,.400,.500,.300,.300,300,.500,.600,.000
2,.800,.200,.200,.200,.500,.600,.200,.300,.400,.500,.600,.000
3,.300,.000,.300,.300,.400,.600,.200,.300,.300,.500,.500,.100
4,.300,.100,.300,.300,.400,.500,.200,.300,.300,.500,.500,.200
5,.300,.000,.300,.200,.400,.600,.300,.400,.300,.500,.700,.200
6,.300,.400,.300,.200,.500,.500,.300,.300,.500,.500,.700,.200
7,.000,.300,.200,.300,.400,.500,.200,.300,.500,.600,.400,.200
8,.000,.300,.300,.300,.400,.500,.300,.300,.300,.500,.500,.400
9,.100,.100,.300,.300,.500,.500,.300,.400,.200,.400,.500,.400
10,.100,.200,.300,.200,.500,.500,.300,400,.200,.400,,.400
11,.100,.100,.400,.300,.400,.200,.300,.400,.300,.300,,.300
12,.000,.200,.400,.200,.400,.200,.300,.400,.300,.400,,.200
13,.100,.300,.400,.200,.400,.200,.300,.400,.400,.500,,.000
14,.000,.200,.300,.300,.400,.200,.300,.400,.400,.500,,.100
15,.300,.200,.300,.200,.400,.200,.300,.400,.400,.300,,.000
16,.200,.300,.300,.200,.500,.200,.400,.400,.400,.400,,.300
17,.100,.100,.300,.300,.500,.200,.300,.400,.300,.400,,.300
18,.200,.200,.300,.300,.400,.200,.400,.500,.400,.400,,.200
19,.200,.200,.300,.300,.400,.200,.500,.400,.500,.500,,200
20,.400,.200,.300,.300,.500,.200,.400,.500,.500,.400,,.300
21,.200,.400,.400,.300,.500,.200,.500,.700,.400,.500,,400
22,.200,.400,.400,.300,.500,.200,.500,.700,.300,.400,,.400
23,.200,.400,.400,.300,.400,.200,.400,.500,.400,.400,,.100
24,.400,.100,.300,.300,.500,.300,.300,.500,.400,.500,,.300
25,.300,.100,.400,.300,.500,.200,.300,.500,.500,.400,,300
26,.200,.200,.200,.400,.600,.300,.300,.500,.500,.400,,.300
27,.200,.200,.200,.300,.600,.200,.400,.500,.300,.500,,300
28,.100,.200,.200,.300,.600,.200,.300,.400,.300,.500,100,200
29,.100,.200,.200,.500,.600,.200,.400,.400,.400,.600,.100,200
30,.100,,.200,.600,.500,.200,.300,.400,.400,.600,.100,.200
31,.200,,.200,,.500,,.300,.400,,.600,,.200
