Day,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
1,21,,12,13,7,17,16,56,27,25,10,4
2,37,35,15,19,5,12,24,34,23,16,9,3
3,43,20,11,9,8,15,43,24,23,8,8,8
4,50,36,2,24,14,16,64,46,38,3,7,14
5,44,16,,22,18,17,40,36,28,5,21,34
6,33,11,,13,13,21,47,54,29,7,10,49
7,23,,,9,19,17,26,55,27,4,12,62
8,16,19,22,7,23,20,21,36,24,5,12,65
9,7,21,15,9,24,24,24,49,30,4,23,47
10,6,21,12,23,18,25,21,85,28,3,16,39
11,5,,8,27,8,15,27,73,22,11,13,41
12,9,23,19,21,3,26,18,32,26,15,20,15
13,,,18,4,9,20,23,50,21,13,31,15
14,12,19,11,9,11,27,23,45,24,6,38,29
15,27,19,2,9,10,42,17,38,62,14,45,20
16,20,,4,96,14,27,36,27,19,18,35,18
17,28,9,4,3,22,28,20,46,28,14,25,20
18,22,32,5,8,18,24,28,28,29,12,14,30
19,9,4,7,11,16,14,34,38,28,24,31,11
20,9,,8,11,14,19,25,,24,16,37,31
21,17,,6,12,14,24,22,21,35,11,57,12
22,,,12,8,15,17,16,17,35,14,10,6
23,18,10,3,13,11,25,25,31,19,6,4,11
24,17,9,6,22,15,20,30,26,23,15,4,19
25,10,,5,16,18,22,28,14,23,12,7,7
26,10,9,6,23,17,29,39,17,27,19,17,4
27,14,,10,19,14,28,36,44,33,14,35,8
28,14,,11,31,10,32,33,25,26,10,15,13
29,28,,13,22,16,25,31,20,24,15,7,10
30,18,,13,4,21,19,37,21,18,9,4,12
31,24,,14,,32,,50,24,,14,,10
