Day,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
1,.033,.034,.039,.052,.058,.047,.073,.068,.042,.041,.032,.023
2,.028,.029,.035,.047,.062,.058,.062,.055,.039,.035,.033,.019
3,.026,.029,.037,.053,.062,.065,.070,.045,.035,.032,.043,.012
4,.020,.026,.039,.054,.056,.071,.060,.058,.037,.038,.027,.007
5,.010,.020,.041,.060,.053,.061,.058,.036,.044,.034,.029,.025
6,.012,.028,.044,.055,.051,.067,.050,.048,.048,.042,.030,.025
7,.014,.036,.045,.054,.053,.068,.050,.043,.052,.043,.033,.009
8,.011,.037,.046,.049,.051,.069,.052,.050,.071,.036,.042,.014
9,.016,.028,.043,.047,.051,P .076,.047,.053,.049,.029,.044,.001
10,.003,.035,.045,.053,.055,.056,.045,.049,.057,.038,.033,.038
11,.006,.030,.044,.056,.059,.052,.040,.050,.058,.046,.034,.034
12,.010,.031,.045,.056,.062,.066,.052,.052,.063,.036,.025,.027
13,.010,.029,.044,.049,.062,.060,.048,.055,.052,.035,.023,.028
14,.020,.033,.050,.055,.048,.054,.048,.056,.030,.039,.027,.030
15,.026,.039,.049,.042,.038,.054,.053,.059,.026,.030,.042,.026
16,.009,.039,.051,.041,,.066,.057,.069,.032,.036,.032,.030
17,.026,.037,.049,.046,,.068,.059,.062,.044,.033,.026,.025
18,.031,.036,.050,.055,.047,.070,.060,.067,.046,.030,.028,.021
19,.018,.032,.046,.055,.055,.073,.060,.065,.047,.040,.021,.021
20,.028,.043,.050,.058,.058,.071,.042,.073,.052,.036,.036,.028
21,.028,.042,.045,.056,.051,.057,.062,.063,.048,.032,.029,.034
22,.031,.039,.045,.055,.050,.067,.048,.057,.047,.029,.024,.030
23,.022,.037,.040,.055,.060,.065,.049,.059,.048,.033,.013,.033
24,.018,.039,.041,.054,.055,.068,.044,.051,.046,.036,.015,.031
25,.028,.042,.046,.046,.052,.070,.060,.047,.047,.034,.038,.032
26,.021,.034,.043,.043,.042,.071,.052,.041,.049,.040,.029,.028
27,.028,.038,.040,.046,.047,.070,.050,.059,.051,.038,.029,.029
28,.023,.039,.047,.054,.055,.070,.052,.050,.046,.020,.028,.019
29,.013,,.053,.059,.062,.073,.063,.052,.034,.031,.025,.022
30,.006,,.046,.055,.057,.066,.064,.048,.021,.032,.032,.022
31,.024,,.055,,.058,,.066,.045,,.036,,.026
