Day,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
1,22.1,24.1,40.4,24.9,11.0,10.5,8.8,4.3,12.5,9.9,23.7,31.9
2,36.1,21.4,28.0,16.7,6.9,10.4,5.0,11.4,17.6,9.1,28.5,29.2
3,44.0,30.1,26.7,12.3,7.4,10.6,3.5,11.1,10.3,17.2,18.2,35.2
4,37.9,33.2,25.8,23.9,12.3,11.6,8.1,11.7,7.3,19.5,21.7,36.5
5,36.1,30.6,5.1,4.7,15.7,5.5,7.8,10.5,10.5,20.8,9.3,17.3
6,31.4,26.4,12.9,15.3,14.5,9.4,9.8,7.7,14.0,17.9,13.6,21.1
7,28.5,36.9,25.0,49.0,4.5,12.2,9.5,7.3,14.8,22.7,16.4,29.7
8,21.4,35.8,20.6,23.7,4.6,15.1,9.2,12.5,22.6,15.0,24.1,32.4
9,26.7,35.1,15.9,9.0,7.6,12.4,7.8,16.3,13.0,10.1,6.9,28.5
10,37.5,33.0,17.1,12.9,16.7,9.7,10.4,6.3,11.5,24.2,13.9,32.0
11,38.8,27.9,33.2,26.9,17.5,8.7,11.4,9.0,12.3,23.6,27.3,15.2
12,39.2,33.0,26.6,9.8,8.5,5.3,13.5,13.2,15.1,19.2,27.9,17.5
13,40.7,29.6,22.2,8.4,13.9,4.6,14.4,6.9,8.6,19.1,26.5,19.6
14,34.5,31.0,18.8,22.9,13.2,7.1,11.5,7.2,7.5,17.3,23.8,30.8
15,32.7,33.1,25.2,14.6,9.0,8.5,10.7,11.3,8.4,14.3,29.3,25.4
16,27.5,23.7,26.7,15.0,14.1,8.4,7.6,10.3,16.8,8.1,32.0,36.0
17,37.6,29.6,17.1,10.9,11.8,18.6,6.6,10.0,8.0,20.5,29.7,38.7
18,41.7,26.9,31.2,18.8,10.3,2.5,10.3,9.8,6.5,25.6,25.8,37.7
19,32.9,26.1,20.0,10.0,9.8,2.5,10.4,8.5,12.3,22.2,29.1,44.2
20,38.8,24.7,8.9,14.5,4.0,4.0,7.8,8.8,16.3,27.4,27.4,47.3
21,28.6,18.2,22.7,9.5,7.9,10.0,12.3,5.0,13.5,23.6,36.6,39.9
22,31.4,20.1,22.8,11.1,7.1,11.0,10.6,9.9,10.1,6.4,41.9,42.4
23,28.0,19.8,27.0,11.3,7.2,8.8,11.6,11.5,14.2,4.0,34.7,38.9
24,33.4,22.6,24.2,15.3,14.1,9.9,7.4,16.5,11.4,13.1,26.1,36.7
25,31.8,17.2,23.4,18.2,10.1,9.0,17.5,12.4,14.8,18.9,28.9,31.5
26,32.7,29.8,17.4,21.7,8.7,5.6,13.0,11.0,16.6,21.3,27.2,31.3
27,34.3,28.7,10.1,17.6,9.0,7.3,11.8,7.4,19.8,18.2,21.5,29.8
28,35.9,30.1,24.8,17.8,5.7,8.4,12.0,7.4,16.6,29.5,19.5,26.1
29,31.9,,10.9,9.5,3.9,15.2,10.0,13.1,19.6,25.0,16.8,26.9
30,36.9,,11.2,14.6,7.0,13.1,7.1,12.2,8.6,20.2,31.3,14.2
31,37.7,,,,9.0,,5.2,,,26.1,,17.0
