Day,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
1,,,13,,,,,24,,,,22
2,,16,,,,18,26,,,,30,
3,,,,11,15,,,,18,8,,
4,,,15,,,,,17,,,,
5,,19,,,,,15,,,,11,25
6,34,,,33,5,,,,31,9,,
7,,,18,,,,,17,,,,
8,,11,,,,,14,,,,8,29
9,40,,,10,3,,,,28,22,,
10,,,18,,,,,16,,,,
11,,14,,,,10,11,,,,6,9
12,15,,,11,15,,,,25,25,,
13,,,16,,,,,15,,,,
14,,23,,,,14,16,,,,0,3
15,,,,8,7,,,,17,34,,
16,,,16,,,,,27,,,,
17,,14,,,,20,20,,,,13,19
18,12,,,14,9,,,,11,6,,
19,,,19,,,,,41,,,,
20,,22,,,,21,17,,,,,8
21,,,,,10,,,,15,13,,
22,,,18,,,,,29,,,,
23,,10,,,,26,14,,,,28,7
24,,,,,6,,,,27,12,,
25,,,8,,,,,26,,,,
26,,15,,,,23,13,,,,4,
27,,,,,8,,,,13,15,,
28,,,14,,,,,19,,,,
29 30,29,,,21,13,27,19,,27,13,,47
