Day,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
1,6.5,10.6,6.0,3.3,2.2,,4.4,3.9,5.0,4.9,12.3,4.1
2,13.8,2.6,5.0,2.6,2.3,,5.2,5.0,6.3,3.6,17.5,11.7
3,18.4,.9,8.9,3.3,4.3,4.8,5.8,5.1,8.1,3.5,11.2,
4,25.9,1.7,6.4,2.1,5.3,5.9,,3.5,7.8,2.6,14.4,
5,22.9,.8,3.5,2.7,4.4,6.1,19.4,4.5,5.8,2.3,11.8,
6,2.1,1.9,1.2,1.8,4.3,5.1,8.3,5.2,7.5,3.2,9.1,
7,4.1,4.5,1.5,2.0,3.4,7.3,4.0,6.7,7.3,6.3,9.8,
8,16.1,5.2,2.1,2.7,1.8,3.0,5.7,6.2,5.7,5.4,10.1,
9,6.3,2.8,1.8,2.0,2.6,3.0,7.1,4.1,11.3,3.1,10.1,
10,14.9,1.2,2.6,1.3,3.5,4.6,5.9,4.6,7.7,2.5,11.5,
11,24.6,2.7,8.0,1.4,5.0,4.6,5.2,4.2,3.7,4.8,9.1,
12,20.8,5.2,9.0,1.6,5.2,6.2,4.6,6.1,5.0,8.5,10.3,
13,21.2,1.7,1.8,2.7,5.5,5.0,5.6,4.9,5.3,5.4,11.6,
14,21.7,2.2,4.7,2.0,8.2,4.7,5.8,6.1,5.9,6.8,10.3,
15,23.3,1.1,9.6,4.4,6.0,,6.3,7.0,4.7,7.8,8.2,
16,1.6,1.3,13.3,2.6,4.3,,5.1,6.9,5.2,6.2,6.7,4.5
17,1.3,2.0,7.9,2.9,1.1,,7.3,5.9,8.0,,4.6,9.7
18,2.8,5.0,8.0,3.7,1.4,,5.0,4.9,5.0,3.6,9.3,12.0
19,5.0,5.1,6.7,4.4,1.7,,6.9,4.0,4.1,2.4,5.2,15.3
20,5.3,2.2,2.9,3.5,,,6.7,,2.7,2.2,7.7,
21,2.0,5.3,2.1,2.4,,,6.5,5.3,3.7,2.6,2.5,
22,5.9,7.4,2.3,2.2,,,8.6,10.0,3.2,3.9,8.3,
23,11.0,6.4,2.9,4.0,,,8.3,6.7,3.5,4.1,10.0,
24,17.9,2.4,2.6,3.6,,,13.5,5.7,4.2,3.9,12.0,2.8
25,8.7,1.6,7.7,3.1,,,9.0,6.4,4.2,8.1,6.5,5.1
26,14.7,2.4,5.8,2.7,,,6.3,5.2,3.5,6.2,4.8,5.3
27,14.2,2.6,5.2,4.0,,5.4,4.7,6.0,4.1,3.7,3.0,7.5
28,,2.7,2.8,4.8,,5.5,6.1,6.3,4.5,4.4,3.9,4.5
29,14.7,,3.6,2.9,,8.0,5.0,4.5,2.6,6.8,2.2,5.0
30,11.9,,3.7,2.9,,5.7,4.4,7.3,3.6,6.0,,10.5
31,9.8,,3.4,,,,14.4,6.4,,8.2,,15.5
