Day,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
1,.300,.400,.100,.100,.000,.000,.100,.000,.000,.100,.200,100
2,.400,.400,.100,.100,.000,.000,.100,.000,.000,.000,.200,.500
3,.400,.200,.100,.100,.000,.000,.100,.000,.000,.100,.200,.500
4,.500,.100,.100,.100,.000,.100,.100,.000,.000,.100,.200,.700
5,.600,.100,.100,.100,.000,.100,.000,.000,.000,.100,.200,.700
6,.300,.100,.000,.000,.000,.100,.000,.000,.000,.100,.200,.600
7,.500,.200,.100,.100,.000,.100,.000,.000,.000,.400,.200,.000
8,.700,.200,.100,.100,.000,.100,.000,.000,.000,.400,.200,.000
9,.400,.200,.000,.000,.000,.100,.000,.000,.000,.300,.200,.000
10,.400,.100,.100,.000,.000,.100,.000,.000,.000,.200,.200,.800
11,.400,.100,.100,.000,.000,.100,.000,.000,.000,.300,.100,900
12,.400,.200,.200,.000,.000,.100,.000,.000,.000,.400,.200,.900
13,.300,.200,.100,.000,.000,.100,.000,.000,.000,.300,.200,.700
14,.400,.200,.100,.000,.000,.100,.000,.000,.000,.300,.300,.700
15,.600,.100,.200,.100,.100,.100,.000,.000,.000,.400,.200,.700
16,.500,.000,.200,.100,.000,.100,.000,.000,.000,.300,.200,.900
17,.100,.100,.200,.100,.000,.100,.000,.000,.000,.300,.000,1.000
18,.200,.100,.200,.100,.000,.100,.000,.000,.000,.200,.200,1.100
19,.200,.100,.200,.100,.000,.100,.000,.000,.000,.200,.200,1.100
20,.200,.000,.200,.100,.000,.100,.000,.000,.000,.100,.100,1.000
21,.200,.100,.100,.000,.000,.100,.000,.000,.000,.200,.100,1.000
22,.200,.100,.100,.000,.000,.100,.000,.000,.000,.100,.200,1.000
23,.400,.000,.100,.000,.000,.100,.000,.000,.000,.100,.100,1.000
24,.500,.100,.100,.000,.100,.100,.000,.000,.000,.100,.200,900
25,.400,.000,.200,.000,.100,.100,.000,.000,.000,.100,.100,.800
26,.400,.000,.200,.000,.000,.100,.000,.000,.000,.100,.000,900
27,.300,.100,.200,.000,.000,.100,.000,.000,.000,.000,.100,900
28,.400,.100,.100,.000,.000,.100,.000,.000,.000,.000,.200,.900
29,.400,,.100,.000,.000,.100,.000,.000,.000,.000,.100,1.000
30,.300,,.100,.000,.000,.000,.000,.000,.000,.100,100,.900
31,.400,,.100,,.000,,.000,.000,,.200,,.900
